frequencia_hz,amplitude_dbm
0,7.781249984
779510,-27.406249984
1559020,-85.062500000
2338530,-85.562499968
3118040,-83.593750016
3897550,-85.125000000
4677060,-87.656249984
5456570,-84.187500000
6236080,-83.218750000
7015590,-83.218750000
7795100,-86.250000000
8574610,-84.781249984
9354120,-88.312500000
10133630,-88.843750016
10913140,-90.375000000
11692650,-89.406249984
12472160,-89.937500032
13251670,-87.968750016
14031180,-87.000000000
14810690,-84.031250000
15590200,-83.062500000
16369710,-86.093750000
17149220,-82.093750000
17928731,-85.125000000
18708241,-81.656249984
19487751,-78.187500000
20267261,-81.218750000
21046771,-78.718750016
21826281,-79.687500032
22605791,-85.656249984
23385301,-86.125000000
24164811,-84.093750000
24944321,-84.062500000
25723831,-78.531249984
26503341,-74.000000000
27282851,-74.968750016
28062361,-75.968750016
28841871,-76.437500000
29621381,-72.906249984
30400891,-74.375000000
31180401,-76.875000000
31959911,-77.375000000
32739421,-77.375000000
33518931,-82.406249984
34298441,-88.406249984
35077951,-91.406249984
35857461,-89.437500000
36636971,-84.437500000
37416481,-83.437500000
38195991,-81.437500000
38975501,-79.968750016
39755011,-75.968750016
40534521,-73.968750016
41314031,-69.500000000
42093541,-71.000000000
42873051,-75.000000000
43652561,-71.000000000
44432071,-72.531249984
45211581,-74.031250000
45991091,-76.031250000
46770601,-76.562499968
47550111,-88.062500000
48329621,-90.062500000
49109131,-83.093750000
49888641,-77.593750016
50668151,-76.093750000
51447661,-75.125000000
52227171,-72.625000000
53006682,-69.125000000
53786192,-69.125000000
54565702,-65.156250000
55345212,-64.656249984
56124722,-68.656249984
56904232,-67.187500000
57683742,-70.687500032
58463252,-68.687500032
59242762,-70.687500032
60022272,-71.718750016
60801782,-67.718750016
61581292,-66.218750000
62360802,-64.218750000
63140312,-64.250000000
63919822,-64.750000000
64699332,-65.250000000
65478842,-64.281249984
66258352,-66.781249984
67037862,-68.781249984
67817372,-69.281249984
68596882,-75.812499968
69376392,-83.812499968
70155902,-84.312500000
70935412,-80.343750016
71714922,-69.843750016
72494432,-69.843750016
73273942,-67.375000000
74053452,-63.375000000
74832962,-65.375000000
75612472,-59.375000000
76391982,-59.406249984
77171492,-59.406249984
77951002,-58.406249984
78730512,-62.937500032
79510022,-62.937500032
80289532,-65.937500032
81069042,-69.937500032
81848552,-78.968750016
82628062,-79.468750016
83407572,-77.968750016
84187082,-71.500000000
84966592,-68.000000000
85746102,-64.000000000
86525612,-63.031250000
87305122,-61.531249984
88084633,-59.531249984
88864143,-58.531249984
89643653,-61.062500000
90423163,-58.562499968
91202673,-60.562499968
91982183,-62.562499968
92761693,-63.593750016
93541203,-72.093750000
94320713,-76.593750016
95100223,-82.625000000
95879733,-78.625000000
96659243,-71.625000000
97438753,-68.156250000
98218263,-65.156250000
98997773,-69.156250000
99777283,-70.656249984
100556793,-80.187500000
101336303,-82.687500032
102115813,-73.687500032
102895323,-72.187500000
103674833,-66.187500000
104454343,-68.656249984
105233853,-66.656249984
106013363,-71.156250000
106792873,-72.656249984
107572383,-76.156250000
108351893,-83.656249984
109131403,-86.125000000
109910913,-77.625000000
110690423,-75.125000000
111469933,-70.625000000
112249443,-68.625000000
113028953,-74.125000000
113808463,-70.093750000
114587973,-72.593750016
115367483,-78.093750000
116146993,-85.593750016
116926503,-87.093750000
117706013,-75.562499968
118485523,-69.562499968
119265033,-68.062500000
120044543,-68.062500000
120824053,-69.062500000
121603563,-71.062500000
122383073,-79.531249984
123162584,-88.531249984
123942094,-87.531249984
124721604,-76.531249984
125501114,-71.531249984
126280624,-68.500000000
127060134,-71.000000000
127839644,-69.000000000
128619154,-71.000000000
129398664,-72.500000000
130178174,-76.500000000
130957684,-85.468750016
131737194,-87.968750016
132516704,-77.968750016
133296214,-71.468750016
134075724,-67.968750016
134855234,-66.937500032
135634744,-64.437500000
136414254,-72.437500000
137193764,-69.437500000
137973274,-72.937500032
138752784,-83.437500000
139532294,-87.906249984
140311804,-81.906249984
141091314,-77.406249984
141870824,-73.406249984
142650334,-73.906249984
143429844,-73.375000000
144209354,-70.375000000
144988864,-73.875000000
145768374,-77.875000000
146547884,-83.875000000
147327394,-88.875000000
148106904,-85.343750016
148886414,-80.343750016
149665924,-76.843750016
150445434,-71.843750016
151224944,-74.843750016
152004454,-69.812499968
152783964,-75.812499968
153563474,-75.812499968
154342984,-83.312500000
155122494,-85.312500000
155902004,-84.812499968
156681514,-81.281249984
157461024,-74.781249984
158240535,-73.281249984
159020045,-72.281249984
159799555,-73.281249984
160579065,-77.250000000
161358575,-81.250000000
162138085,-83.250000000
162917595,-85.218750000
163697105,-88.218750000
164476615,-81.718750016
165256125,-75.187500000
166035635,-73.187500000
166815145,-71.187500000
167594655,-71.187500000
168374165,-72.156250000
169153675,-76.156250000
169933185,-85.156250000
170712695,-85.625000000
171492205,-85.625000000
172271715,-80.625000000
173051225,-74.093750000
173830735,-72.093750000
174610245,-70.593750016
175389755,-69.562499968
176169265,-69.562499968
176948775,-76.062500000
177728285,-80.031250000
178507795,-84.031250000
179287305,-83.531249984
180066815,-76.500000000
180846325,-71.000000000
181625835,-72.000000000
182405345,-75.000000000
183184855,-76.468750016
183964365,-82.968750016
184743875,-86.968750016
185523385,-89.437500000
186302895,-88.937500032
187082405,-84.437500000
187861915,-81.406249984
188641425,-76.906249984
189420935,-77.406249984
190200445,-80.375000000
190979955,-82.375000000
191759465,-86.875000000
192538976,-84.875000000
193318486,-90.343750016
194097996,-91.343750016
194877506,-87.312500000
195657016,-86.812499968
196436526,-81.812499968
197216036,-80.812499968
197995546,-81.781249984
198775056,-84.281249984
199554566,-85.281249984
200334076,-84.750000000
201113586,-88.750000000
201893096,-87.250000000
202672606,-89.250000000
203452116,-86.218750000
204231626,-82.718750016
205011136,-82.187500000
205790646,-83.687500032
206570156,-80.687500032
207349666,-85.687500032
208129176,-88.156250000
208908686,-88.656249984
209688196,-89.656249984
210467706,-87.125000000
211247216,-88.625000000
212026726,-86.625000000
212806236,-82.593750016
213585746,-82.093750000
214365256,-85.093750000
215144766,-87.593750016
215924276,-88.062500000
216703786,-91.062500000
217483296,-90.062500000
218262806,-87.531249984
219042316,-87.031250000
219821826,-85.000000000
220601336,-82.000000000
221380846,-85.500000000
222160356,-82.500000000
222939866,-90.968750016
223719376,-86.968750016
224498886,-89.968750016
225278396,-88.437500000
226057906,-88.437500000
226837416,-83.937500032
227616927,-83.937500032
228396437,-84.406249984
229175947,-83.906249984
229955457,-80.406249984
230734967,-81.875000000
231514477,-87.875000000
232293987,-88.875000000
233073497,-88.875000000
233853007,-86.875000000
234632517,-83.875000000
235412027,-83.375000000
236191537,-83.875000000
236971047,-83.875000000
237750557,-78.406249984
238530067,-85.906249984
239309577,-85.406249984
240089087,-90.406249984
240868597,-86.406249984
241648107,-84.906249984
242427617,-81.906249984
243207127,-78.906249984
243986637,-83.906249984
244766147,-83.906249984
245545657,-84.437500000
246325167,-86.437500000
247104677,-87.937500032
247884187,-86.937500032
248663697,-84.937500032
249443207,-84.437500000
250222717,-82.437500000
251002227,-82.437500000
251781737,-79.937500032
252561247,-81.968750016
253340757,-83.468750016
254120267,-80.468750016
254899777,-84.968750016
255679287,-82.468750016
256458797,-85.968750016
257238307,-88.468750016
258017817,-88.468750016
258797327,-84.968750016
259576837,-87.468750016
260356347,-84.500000000
261135857,-85.000000000
261915367,-81.000000000
262694878,-82.000000000
263474388,-81.500000000
264253898,-80.000000000
265033408,-78.000000000
265812918,-81.000000000
266592428,-83.000000000
267371938,-83.031250000
268151448,-82.531249984
268930958,-84.031250000
269710468,-82.031250000
270489978,-84.531249984
271269488,-84.031250000
272048998,-83.531249984
272828508,-80.531249984
273608018,-83.031250000
274387528,-80.531249984
275167038,-82.031250000
275946548,-81.562499968
276726058,-79.562499968
277505568,-83.562499968
278285078,-84.562499968
279064588,-81.562499968
279844098,-83.562499968
280623608,-85.562499968
281403118,-84.062500000
282182628,-88.062500000
282962138,-85.593750016
283741648,-85.093750000
284521158,-84.093750000
285300668,-83.593750016
286080178,-79.593750016
286859688,-81.593750016
287639198,-80.093750000
288418708,-79.093750000
289198218,-79.593750016
289977728,-78.125000000
290757238,-80.625000000
291536748,-81.625000000
292316258,-82.125000000
293095768,-81.625000000
293875278,-84.125000000
294654788,-82.625000000
295434298,-83.093750000
296213808,-83.593750016
296993318,-83.593750016
297772829,-82.593750016
298552339,-81.593750016
299331849,-84.562499968
300111359,-82.562499968
300890869,-83.062500000
301670379,-82.562499968
302449889,-85.062500000
303229399,-87.562499968
304008909,-87.031250000
304788419,-88.031250000
305567929,-88.031250000
306347439,-88.031250000
307126949,-85.531249984
307906459,-86.031250000
308685969,-85.000000000
309465479,-86.500000000
310244989,-84.000000000
311024499,-83.500000000
311804009,-84.000000000
312583519,-84.500000000
313363029,-86.468750016
314142539,-85.968750016
314922049,-85.468750016
315701559,-85.968750016
316481069,-88.468750016
317260579,-90.468750016
318040089,-88.437500000
318819599,-86.437500000
319599109,-85.937500032
320378619,-82.937500032
321158129,-85.937500032
321937639,-84.906249984
322717149,-83.906249984
323496659,-85.406249984
324276169,-80.406249984
325055679,-84.406249984
325835189,-83.906249984
326614699,-85.406249984
327394209,-86.375000000
328173719,-86.375000000
328953229,-88.875000000
329732739,-88.375000000
330512249,-88.375000000
331291759,-87.375000000
332071269,-86.343750016
332850780,-82.843750016
333630290,-87.343750016
334409800,-83.343750016
335189310,-80.343750016
335968820,-82.843750016
336748330,-84.312500000
337527840,-85.312500000
338307350,-84.812499968
339086860,-87.312500000
339866370,-89.812499968
340645880,-88.281249984
341425390,-90.781249984
342204900,-90.281249984
342984410,-89.781249984
343763920,-88.781249984
344543430,-85.781249984
345322940,-83.250000000
346102450,-85.250000000
346881960,-83.750000000
347661470,-83.250000000
348440980,-82.250000000
349220490,-87.250000000
350000000,-85.718750016
