frequencia_hz,amplitude_dbm
0,7.812499968
779510,-27.375000000
1559020,-85.531249984
2338530,-85.031250000
3118040,-82.562499968
3897550,-86.593750016
4677060,-87.625000000
5456570,-86.156250000
6236080,-82.656249984
7015590,-85.687500032
7795100,-89.250000000
8574610,-86.750000000
9354120,-87.781249984
10133630,-91.312500000
10913140,-90.343750016
11692650,-89.375000000
12472160,-86.406249984
13251670,-91.937500032
14031180,-90.468750016
14810690,-87.000000000
15590200,-88.000000000
16369710,-91.031250000
17149220,-87.062500000
17928731,-92.593750016
18708241,-87.125000000
19487751,-89.156250000
20267261,-86.687500032
21046771,-87.687500032
21826281,-92.625000000
22605791,-89.593750016
23385301,-89.093750000
24164811,-91.562499968
24944321,-90.531249984
25723831,-91.500000000
26503341,-87.968750016
27282851,-91.468750016
28062361,-88.406249984
28841871,-86.906249984
29621381,-86.375000000
30400891,-87.843750016
31180401,-86.843750016
31959911,-86.343750016
32739421,-89.343750016
33518931,-89.375000000
34298441,-92.875000000
35077951,-90.875000000
35857461,-91.406249984
36636971,-89.406249984
37416481,-84.406249984
38195991,-88.906249984
38975501,-89.437500000
39755011,-87.437500000
40534521,-84.437500000
41314031,-86.968750016
42093541,-87.968750016
42873051,-86.968750016
43652561,-89.468750016
44432071,-89.000000000
45211581,-87.000000000
45991091,-86.531249984
46770601,-86.031250000
47550111,-87.531249984
48329621,-87.031250000
49109131,-88.562499968
49888641,-87.062500000
50668151,-87.062500000
51447661,-85.093750000
52227171,-86.593750016
53006682,-85.093750000
53786192,-84.093750000
54565702,-83.625000000
55345212,-84.125000000
56124722,-86.125000000
56904232,-84.656249984
57683742,-84.656249984
58463252,-84.656249984
59242762,-87.656249984
60022272,-84.687500032
60801782,-90.187500000
61581292,-86.687500032
62360802,-85.687500032
63140312,-82.218750000
63919822,-86.218750000
64699332,-86.218750000
65478842,-80.250000000
66258352,-77.750000000
67037862,-77.250000000
67817372,-76.281249984
68596882,-79.281249984
69376392,-79.781249984
70155902,-80.781249984
70935412,-78.812499968
71714922,-84.812499968
72494432,-85.812499968
73273942,-88.343750016
74053452,-84.843750016
74832962,-86.843750016
75612472,-85.375000000
76391982,-82.875000000
77171492,-79.375000000
77951002,-82.875000000
78730512,-80.406249984
79510022,-82.406249984
80289532,-79.406249984
81069042,-81.937500032
81848552,-85.437500000
82628062,-83.437500000
83407572,-86.437500000
84187082,-83.968750016
84966592,-89.468750016
85746102,-86.468750016
86525612,-85.500000000
87305122,-89.500000000
88084633,-88.000000000
88864143,-86.500000000
89643653,-85.031250000
90423163,-86.031250000
91202673,-80.531249984
91982183,-83.562499968
92761693,-84.562499968
93541203,-81.062500000
94320713,-79.062500000
95100223,-85.093750000
95879733,-85.093750000
96659243,-86.093750000
97438753,-87.593750016
98218263,-86.625000000
98997773,-87.125000000
99777283,-86.125000000
100556793,-85.156250000
101336303,-84.656249984
102115813,-78.156250000
102895323,-80.656249984
103674833,-80.656249984
104454343,-85.656249984
105233853,-84.625000000
106013363,-88.125000000
106792873,-83.625000000
107572383,-83.125000000
108351893,-84.625000000
109131403,-83.093750000
109910913,-83.593750016
110690423,-85.093750000
111469933,-81.593750016
112249443,-83.093750000
113028953,-86.062500000
113808463,-86.562499968
114587973,-88.062500000
115367483,-86.562499968
116146993,-83.062500000
116926503,-83.562499968
117706013,-84.531249984
118485523,-83.031250000
119265033,-87.031250000
120044543,-87.031250000
120824053,-87.031250000
121603563,-87.031250000
122383073,-88.000000000
123162584,-85.000000000
123942094,-85.000000000
124721604,-84.000000000
125501114,-84.000000000
126280624,-83.468750016
127060134,-86.468750016
127839644,-88.968750016
128619154,-88.468750016
129398664,-85.468750016
130178174,-87.968750016
130957684,-84.937500032
131737194,-85.937500032
132516704,-83.937500032
133296214,-85.437500000
134075724,-84.937500032
134855234,-89.406249984
135634744,-87.906249984
136414254,-88.906249984
137193764,-89.906249984
137973274,-83.906249984
138752784,-85.906249984
139532294,-85.375000000
140311804,-85.875000000
141091314,-83.875000000
141870824,-87.375000000
142650334,-89.375000000
143429844,-87.343750016
144209354,-87.343750016
144988864,-85.843750016
145768374,-88.343750016
146547884,-87.843750016
147327394,-83.812499968
148106904,-87.812499968
148886414,-86.312500000
149665924,-87.812499968
150445434,-87.812499968
151224944,-90.812499968
152004454,-87.281249984
152783964,-87.781249984
153563474,-85.781249984
154342984,-88.281249984
155122494,-91.781249984
155902004,-87.781249984
156681514,-88.250000000
157461024,-87.250000000
158240535,-90.750000000
159020045,-91.250000000
159799555,-87.750000000
160579065,-87.718750016
161358575,-88.718750016
162138085,-89.218750000
162917595,-87.687500032
163697105,-89.187500000
164476615,-87.187500000
165256125,-87.156250000
166035635,-87.656249984
166815145,-89.156250000
167594655,-87.625000000
168374165,-87.625000000
169153675,-86.625000000
169933185,-86.093750000
170712695,-84.593750016
171492205,-86.093750000
172271715,-87.593750016
173051225,-85.062500000
173830735,-87.562499968
174610245,-85.562499968
175389755,-89.531249984
176169265,-86.031250000
176948775,-87.031250000
177728285,-87.500000000
178507795,-88.000000000
179287305,-87.500000000
180066815,-88.468750016
180846325,-86.968750016
181625835,-87.468750016
182405345,-85.937500032
183184855,-88.937500032
183964365,-88.937500032
184743875,-87.437500000
185523385,-88.406249984
186302895,-90.906249984
187082405,-88.906249984
187861915,-90.375000000
188641425,-90.875000000
189420935,-91.375000000
190200445,-91.843750016
190979955,-89.843750016
191759465,-91.843750016
192538976,-91.312500000
193318486,-88.812499968
194097996,-89.812499968
194877506,-88.812499968
195657016,-91.781249984
196436526,-88.781249984
197216036,-91.281249984
197995546,-90.750000000
198775056,-88.750000000
199554566,-85.750000000
200334076,-90.218750000
201113586,-91.218750000
201893096,-91.718750016
202672606,-90.187500000
203452116,-90.187500000
204231626,-89.187500000
205011136,-87.187500000
205790646,-87.656249984
206570156,-91.156250000
207349666,-90.625000000
208129176,-91.125000000
208908686,-87.125000000
209688196,-92.625000000
