frequencia_hz,amplitude_dbm
0,7.812499968
779510,-27.375000000
1559020,-85.031250000
2338530,-88.031250000
3118040,-84.562499968
3897550,-87.593750016
4677060,-86.125000000
5456570,-83.656249984
6236080,-82.156250000
7015590,-82.687500032
7795100,-88.218750000
8574610,-86.250000000
9354120,-87.281249984
10133630,-87.312500000
10913140,-87.343750016
11692650,-89.875000000
12472160,-88.406249984
13251670,-88.437500000
14031180,-87.937500032
14810690,-87.500000000
15590200,-86.000000000
16369710,-88.062500000
17149220,-87.062500000
17928731,-87.593750016
18708241,-85.625000000
19487751,-85.656249984
20267261,-83.687500032
21046771,-85.187500000
21826281,-81.125000000
22605791,-79.625000000
23385301,-78.593750016
24164811,-81.562499968
24944321,-83.031250000
25723831,-81.500000000
26503341,-83.500000000
27282851,-81.968750016
28062361,-83.937500032
28841871,-85.906249984
29621381,-86.875000000
30400891,-87.843750016
31180401,-85.343750016
31959911,-85.843750016
32739421,-85.343750016
33518931,-82.875000000
34298441,-84.375000000
35077951,-85.375000000
35857461,-82.906249984
36636971,-80.406249984
37416481,-80.406249984
38195991,-78.937500032
38975501,-82.937500032
39755011,-79.437500000
40534521,-86.437500000
41314031,-89.468750016
42093541,-85.968750016
42873051,-86.968750016
43652561,-83.000000000
44432071,-84.500000000
45211581,-81.000000000
45991091,-78.500000000
46770601,-77.031250000
47550111,-75.531249984
48329621,-76.531249984
49109131,-75.062500000
49888641,-73.562499968
50668151,-72.062500000
51447661,-73.562499968
52227171,-75.593750016
53006682,-76.093750000
53786192,-77.593750016
54565702,-84.625000000
55345212,-86.125000000
56124722,-79.125000000
56904232,-74.156250000
57683742,-71.656249984
58463252,-70.656249984
59242762,-65.656249984
60022272,-66.187500000
60801782,-68.187500000
61581292,-68.687500032
62360802,-71.718750016
63140312,-78.218750000
63919822,-87.218750000
64699332,-81.718750016
65478842,-74.250000000
66258352,-70.750000000
67037862,-70.750000000
67817372,-69.781249984
68596882,-66.781249984
69376392,-62.281249984
70155902,-60.781249984
70935412,-60.312500000
71714922,-60.312500000
72494432,-63.312500000
73273942,-62.343750016
74053452,-63.843750016
74832962,-64.843750016
75612472,-68.343750016
76391982,-79.875000000
77171492,-81.375000000
77951002,-72.375000000
78730512,-59.406249984
79510022,-59.406249984
80289532,-58.406249984
81069042,-58.406249984
81848552,-57.437500000
82628062,-58.437500000
83407572,-60.937500032
84187082,-60.468750016
84966592,-64.468750016
85746102,-66.968750016
86525612,-66.000000000
87305122,-67.500000000
88084633,-71.000000000
88864143,-81.000000000
89643653,-84.031250000
90423163,-74.031250000
91202673,-67.531249984
91982183,-66.531249984
92761693,-63.562499968
93541203,-62.062500000
94320713,-62.062500000
95100223,-64.093750000
95879733,-60.593750016
96659243,-60.093750000
97438753,-63.125000000
98218263,-64.125000000
98997773,-68.125000000
99777283,-73.125000000
100556793,-84.156250000
101336303,-78.156250000
102115813,-71.156250000
102895323,-69.156250000
103674833,-67.656249984
104454343,-67.156250000
105233853,-65.625000000
106013363,-67.125000000
106792873,-69.125000000
107572383,-73.625000000
108351893,-87.125000000
109131403,-86.093750000
109910913,-74.093750000
110690423,-73.593750016
111469933,-69.093750000
112249443,-71.593750016
113028953,-67.562499968
113808463,-68.562499968
114587973,-69.562499968
115367483,-74.562499968
116146993,-84.062500000
116926503,-86.062500000
117706013,-76.031250000
118485523,-70.031250000
119265033,-63.031250000
120044543,-66.031250000
120824053,-69.531249984
121603563,-74.500000000
122383073,-76.500000000
123162584,-83.000000000
123942094,-76.500000000
124721604,-73.500000000
125501114,-72.000000000
126280624,-68.468750016
127060134,-65.468750016
127839644,-69.968750016
128619154,-70.968750016
129398664,-72.468750016
130178174,-77.468750016
130957684,-84.437500000
131737194,-83.937500032
132516704,-74.437500000
133296214,-67.937500032
134075724,-64.437500000
134855234,-63.906249984
135634744,-62.906249984
136414254,-64.906249984
137193764,-66.906249984
137973274,-71.906249984
138752784,-84.406249984
139532294,-85.375000000
140311804,-72.875000000
141091314,-68.375000000
141870824,-64.375000000
142650334,-63.375000000
143429844,-64.843750016
144209354,-64.843750016
144988864,-70.343750016
145768374,-72.343750016
146547884,-82.343750016
147327394,-86.812499968
148106904,-78.312500000
148886414,-71.312500000
149665924,-66.312500000
150445434,-67.312500000
151224944,-62.812499968
152004454,-69.281249984
152783964,-69.781249984
153563474,-75.281249984
154342984,-84.281249984
155122494,-91.281249984
155902004,-85.750000000
156681514,-75.250000000
157461024,-71.750000000
158240535,-69.750000000
159020045,-71.750000000
159799555,-71.750000000
160579065,-75.718750016
161358575,-77.718750016
162138085,-80.718750016
162917595,-88.187500000
163697105,-88.187500000
164476615,-79.687500032
165256125,-74.656249984
166035635,-69.156250000
166815145,-67.656249984
167594655,-69.625000000
168374165,-75.125000000
169153675,-76.625000000
169933185,-79.125000000
170712695,-88.593750016
171492205,-86.093750000
172271715,-81.093750000
173051225,-73.562499968
173830735,-71.562499968
174610245,-71.562499968
175389755,-70.031250000
176169265,-76.031250000
176948775,-77.031250000
177728285,-83.000000000
178507795,-89.000000000
179287305,-86.000000000
180066815,-79.000000000
180846325,-75.468750016
181625835,-76.468750016
182405345,-77.468750016
183184855,-78.437500000
183964365,-82.437500000
184743875,-87.937500032
185523385,-89.906249984
186302895,-84.906249984
187082405,-79.406249984
187861915,-78.875000000
188641425,-77.875000000
189420935,-75.875000000
190200445,-81.343750016
190979955,-82.843750016
191759465,-84.343750016
192538976,-87.843750016
193318486,-90.812499968
194097996,-89.812499968
194877506,-87.281249984
195657016,-79.281249984
196436526,-79.781249984
197216036,-77.781249984
197995546,-82.250000000
198775056,-83.250000000
199554566,-82.250000000
200334076,-88.218750000
201113586,-88.718750016
201893096,-91.718750016
202672606,-87.218750000
203452116,-81.687500032
204231626,-80.687500032
205011136,-80.187500000
205790646,-82.156250000
206570156,-84.656249984
207349666,-86.656249984
208129176,-89.125000000
208908686,-90.125000000
209688196,-88.125000000
