frequencia_hz,amplitude_dbm
0,7.812499968
779510,-27.875000000
1559020,-87.531249984
2338530,-86.031250000
3118040,-85.062500000
3897550,-87.593750016
4677060,-85.125000000
5456570,-84.156250000
6236080,-83.687500032
7015590,-87.687500032
7795100,-88.750000000
8574610,-85.250000000
9354120,-87.781249984
10133630,-90.312500000
10913140,-89.843750016
11692650,-88.875000000
12472160,-90.906249984
13251670,-79.937500032
14031180,-81.937500032
14810690,-80.968750016
15590200,-84.531249984
16369710,-83.062500000
17149220,-85.562499968
17928731,-91.093750000
18708241,-85.625000000
19487751,-86.656249984
20267261,-88.187500000
21046771,-86.156250000
21826281,-90.125000000
22605791,-89.625000000
23385301,-90.093750000
24164811,-91.062500000
24944321,-91.531249984
25723831,-90.500000000
26503341,-88.500000000
27282851,-88.968750016
28062361,-81.937500032
28841871,-87.406249984
29621381,-81.875000000
30400891,-83.843750016
31180401,-84.343750016
31959911,-87.343750016
32739421,-85.843750016
33518931,-87.375000000
34298441,-90.375000000
35077951,-89.375000000
35857461,-90.406249984
36636971,-87.406249984
37416481,-89.906249984
38195991,-91.406249984
38975501,-90.937500032
39755011,-87.937500032
40534521,-91.937500032
41314031,-89.968750016
42093541,-88.468750016
42873051,-87.968750016
43652561,-87.468750016
44432071,-89.000000000
45211581,-91.000000000
45991091,-87.000000000
46770601,-92.531249984
47550111,-89.031250000
48329621,-88.031250000
49109131,-87.062500000
49888641,-85.562499968
50668151,-88.562499968
51447661,-89.562499968
52227171,-88.093750000
53006682,-90.593750016
53786192,-88.593750016
54565702,-91.125000000
55345212,-89.125000000
56124722,-87.625000000
56904232,-86.125000000
57683742,-85.656249984
58463252,-85.656249984
59242762,-89.156250000
60022272,-83.187500000
60801782,-89.187500000
61581292,-93.187500000
62360802,-86.687500032
63140312,-86.218750000
63919822,-85.718750016
64699332,-84.218750000
65478842,-83.250000000
66258352,-85.750000000
67037862,-85.750000000
67817372,-87.250000000
68596882,-84.781249984
69376392,-83.281249984
70155902,-85.781249984
70935412,-84.312500000
71714922,-85.812499968
72494432,-82.812499968
73273942,-83.343750016
74053452,-86.843750016
74832962,-86.343750016
75612472,-89.375000000
76391982,-82.875000000
77171492,-81.875000000
77951002,-83.375000000
78730512,-84.906249984
79510022,-85.406249984
80289532,-84.906249984
81069042,-84.437500000
81848552,-82.937500032
82628062,-83.437500000
83407572,-84.437500000
84187082,-83.968750016
84966592,-85.468750016
85746102,-86.968750016
86525612,-89.500000000
87305122,-89.500000000
88084633,-87.000000000
88864143,-89.500000000
89643653,-83.031250000
90423163,-80.531249984
91202673,-82.031250000
91982183,-80.562499968
92761693,-80.062500000
93541203,-77.062500000
94320713,-76.062500000
95100223,-83.093750000
95879733,-81.093750000
96659243,-86.593750016
97438753,-84.593750016
98218263,-89.625000000
98997773,-90.625000000
99777283,-89.625000000
100556793,-89.156250000
101336303,-86.656249984
102115813,-84.656249984
102895323,-86.156250000
103674833,-82.156250000
104454343,-85.156250000
105233853,-89.125000000
106013363,-89.125000000
106792873,-88.625000000
107572383,-86.625000000
108351893,-89.625000000
109131403,-90.593750016
109910913,-88.093750000
110690423,-88.593750016
111469933,-87.593750016
112249443,-90.093750000
113028953,-89.062500000
113808463,-91.062500000
114587973,-91.562499968
115367483,-89.062500000
116146993,-88.562499968
116926503,-90.062500000
117706013,-88.531249984
118485523,-89.531249984
119265033,-88.531249984
120044543,-90.531249984
120824053,-91.031250000
121603563,-90.500000000
122383073,-91.500000000
123162584,-89.000000000
123942094,-89.000000000
124721604,-86.000000000
125501114,-88.500000000
126280624,-88.468750016
127060134,-87.468750016
127839644,-88.468750016
128619154,-90.468750016
129398664,-89.968750016
130178174,-87.437500000
130957684,-88.437500000
131737194,-86.937500032
132516704,-86.437500000
133296214,-86.437500000
134075724,-88.437500000
134855234,-85.406249984
135634744,-90.906249984
136414254,-87.406249984
137193764,-87.906249984
137973274,-87.906249984
138752784,-87.375000000
139532294,-89.875000000
140311804,-88.375000000
141091314,-90.375000000
141870824,-87.375000000
142650334,-85.875000000
143429844,-89.343750016
144209354,-89.343750016
144988864,-88.843750016
145768374,-88.843750016
146547884,-89.843750016
147327394,-89.843750016
148106904,-86.812499968
148886414,-86.812499968
149665924,-86.812499968
150445434,-88.312500000
151224944,-90.312500000
152004454,-87.781249984
152783964,-87.281249984
153563474,-89.781249984
154342984,-89.281249984
155122494,-87.781249984
155902004,-88.281249984
156681514,-87.250000000
157461024,-88.250000000
158240535,-88.250000000
159020045,-89.250000000
159799555,-90.250000000
160579065,-90.218750000
161358575,-89.218750000
162138085,-87.218750000
162917595,-90.187500000
163697105,-89.187500000
164476615,-89.187500000
165256125,-90.156250000
166035635,-88.656249984
166815145,-91.656249984
167594655,-89.625000000
168374165,-87.125000000
169153675,-90.125000000
169933185,-86.593750016
170712695,-90.593750016
171492205,-88.093750000
172271715,-86.093750000
173051225,-87.562499968
173830735,-84.062500000
174610245,-87.062500000
175389755,-87.531249984
176169265,-86.531249984
176948775,-89.531249984
177728285,-86.500000000
178507795,-89.000000000
179287305,-89.500000000
180066815,-88.968750016
180846325,-87.968750016
181625835,-84.968750016
182405345,-87.937500032
183184855,-88.437500000
183964365,-91.437500000
184743875,-89.937500032
185523385,-89.906249984
186302895,-87.906249984
187082405,-91.406249984
187861915,-90.375000000
188641425,-89.875000000
189420935,-89.375000000
190200445,-89.843750016
190979955,-91.843750016
191759465,-90.343750016
192538976,-92.343750016
193318486,-92.312500000
194097996,-88.812499968
194877506,-88.312500000
195657016,-89.281249984
196436526,-90.781249984
197216036,-89.781249984
197995546,-89.250000000
198775056,-87.250000000
199554566,-84.250000000
200334076,-88.218750000
201113586,-88.718750016
201893096,-89.718750016
202672606,-89.687500032
203452116,-84.187500000
204231626,-87.187500000
205011136,-87.156250000
205790646,-88.656249984
206570156,-85.656249984
207349666,-85.125000000
208129176,-83.625000000
208908686,-87.125000000
209688196,-86.625000000
210467706,-86.093750000
211247216,-86.093750000
212026726,-86.093750000
