frequencia_hz,amplitude_dbm
0,7.406249984
779510,-27.281249984
1559020,-86.937500032
2338530,-87.937500032
3118040,-83.968750016
3897550,-86.500000000
4677060,-87.031250000
5456570,-82.062500000
6236080,-83.562499968
7015590,-86.093750000
7795100,-84.156250000
8574610,-81.187500000
9354120,-82.187500000
10133630,-83.218750000
10913140,-83.750000000
11692650,-85.781249984
12472160,-83.812499968
13251670,-86.343750016
14031180,-86.343750016
14810690,-84.906249984
15590200,-85.906249984
16369710,-84.468750016
17149220,-82.468750016
17928731,-83.500000000
18708241,-82.531249984
19487751,-82.062500000
20267261,-82.593750016
21046771,-85.593750016
21826281,-85.031250000
22605791,-81.531249984
23385301,-87.000000000
24164811,-84.968750016
24944321,-82.937500032
25723831,-78.406249984
26503341,-77.375000000
27282851,-74.343750016
28062361,-74.812499968
28841871,-73.312500000
29621381,-73.781249984
30400891,-71.750000000
31180401,-76.250000000
31959911,-73.750000000
32739421,-76.750000000
33518931,-77.781249984
34298441,-78.781249984
35077951,-85.281249984
35857461,-85.312500000
36636971,-83.312500000
37416481,-81.312500000
38195991,-75.812499968
38975501,-73.843750016
39755011,-70.843750016
40534521,-69.343750016
41314031,-68.375000000
42093541,-70.875000000
42873051,-67.875000000
43652561,-74.375000000
44432071,-74.906249984
45211581,-74.406249984
45991091,-77.406249984
46770601,-80.437500000
47550111,-85.437500000
48329621,-90.437500000
49109131,-86.468750016
49888641,-80.968750016
50668151,-74.968750016
51447661,-71.500000000
52227171,-69.000000000
53006682,-70.000000000
53786192,-68.000000000
54565702,-66.031250000
55345212,-68.531249984
56124722,-65.531249984
56904232,-67.062500000
57683742,-69.062500000
58463252,-70.562499968
59242762,-72.062500000
60022272,-77.593750016
60801782,-71.593750016
61581292,-68.093750000
62360802,-69.125000000
63140312,-68.625000000
63919822,-71.125000000
64699332,-69.625000000
65478842,-68.156250000
66258352,-71.156250000
67037862,-72.156250000
67817372,-77.156250000
68596882,-77.187500000
69376392,-80.187500000
70155902,-83.687500032
70935412,-83.218750000
71714922,-75.718750016
72494432,-71.718750016
73273942,-69.750000000
74053452,-66.750000000
74832962,-62.750000000
75612472,-64.250000000
76391982,-59.781249984
77171492,-59.281249984
77951002,-59.281249984
78730512,-60.812499968
79510022,-61.312500000
80289532,-62.312500000
81069042,-65.812499968
81848552,-70.343750016
82628062,-82.343750016
83407572,-85.343750016
84187082,-81.375000000
84966592,-70.375000000
85746102,-65.875000000
86525612,-66.375000000
87305122,-63.406249984
88084633,-61.906249984
88864143,-61.906249984
89643653,-63.437500000
90423163,-66.437500000
91202673,-63.937500032
91982183,-64.968750016
92761693,-65.468750016
93541203,-70.468750016
94320713,-83.468750016
95100223,-83.500000000
95879733,-80.500000000
96659243,-71.000000000
97438753,-66.031250000
98218263,-63.031250000
98997773,-65.531249984
99777283,-64.031250000
100556793,-63.562499968
101336303,-61.062500000
102115813,-67.062500000
102895323,-67.062500000
103674833,-67.562499968
104454343,-89.031250000
105233853,-80.531249984
106013363,-72.531249984
106792873,-64.531249984
107572383,-64.531249984
108351893,-63.031250000
109131403,-63.000000000
109910913,-65.500000000
110690423,-69.500000000
111469933,-75.500000000
112249443,-85.000000000
113028953,-82.968750016
113808463,-68.468750016
114587973,-67.968750016
115367483,-64.468750016
116146993,-63.468750016
116926503,-61.968750016
117706013,-63.937500032
118485523,-67.937500032
119265033,-72.937500032
120044543,-81.437500000
120824053,-70.937500032
121603563,-67.937500032
122383073,-64.406249984
123162584,-66.406249984
123942094,-66.906249984
124721604,-67.906249984
125501114,-76.406249984
126280624,-83.375000000
127060134,-84.875000000
127839644,-81.375000000
128619154,-76.375000000
129398664,-67.375000000
130178174,-66.875000000
130957684,-67.843750016
131737194,-67.843750016
132516704,-71.843750016
133296214,-70.343750016
134075724,-77.843750016
134855234,-85.812499968
135634744,-86.312500000
136414254,-76.812499968
137193764,-71.312500000
137973274,-69.312500000
138752784,-68.781249984
139532294,-70.781249984
140311804,-71.781249984
141091314,-72.281249984
141870824,-68.781249984
142650334,-69.781249984
143429844,-67.250000000
144209354,-68.250000000
144988864,-70.250000000
145768374,-74.250000000
146547884,-75.750000000
147327394,-87.750000000
148106904,-86.718750016
148886414,-77.718750016
149665924,-70.718750016
150445434,-72.718750016
151224944,-69.718750016
152004454,-71.687500032
152783964,-74.687500032
153563474,-76.187500000
154342984,-78.687500032
155122494,-88.187500000
155902004,-87.187500000
156681514,-79.156250000
157461024,-74.156250000
158240535,-70.656249984
159020045,-69.156250000
159799555,-65.656249984
160579065,-70.625000000
161358575,-76.625000000
162138085,-79.125000000
162917595,-87.593750016
163697105,-84.593750016
164476615,-77.093750000
165256125,-72.062500000
166035635,-75.562499968
166815145,-66.062500000
167594655,-64.031250000
168374165,-68.031250000
169153675,-71.031250000
169933185,-76.031250000
170712695,-83.000000000
171492205,-86.000000000
172271715,-78.000000000
173051225,-68.468750016
173830735,-65.968750016
174610245,-63.968750016
175389755,-66.937500032
176169265,-67.937500032
176948775,-71.437500000
177728285,-78.406249984
178507795,-84.406249984
179287305,-83.906249984
180066815,-68.375000000
180846325,-65.875000000
181625835,-67.375000000
182405345,-68.843750016
183184855,-71.343750016
183964365,-76.843750016
184743875,-82.843750016
185523385,-88.312500000
186302895,-88.312500000
187082405,-83.812499968
187861915,-79.281249984
188641425,-78.781249984
189420935,-75.281249984
190200445,-75.750000000
190979955,-75.250000000
191759465,-80.250000000
192538976,-84.750000000
193318486,-88.218750000
194097996,-89.718750016
194877506,-84.187500000
195657016,-80.187500000
196436526,-75.187500000
197216036,-77.187500000
197995546,-76.156250000
198775056,-81.156250000
199554566,-86.156250000
200334076,-87.125000000
201113586,-89.625000000
201893096,-88.125000000
202672606,-86.625000000
203452116,-80.093750000
204231626,-78.093750000
205011136,-74.062500000
205790646,-75.062500000
206570156,-77.062500000
207349666,-81.562499968
208129176,-83.031250000
208908686,-89.031250000
209688196,-89.031250000
210467706,-87.000000000
211247216,-81.500000000
212026726,-78.000000000
212806236,-74.468750016
213585746,-74.468750016
214365256,-77.468750016
215144766,-80.968750016
215924276,-83.437500000
216703786,-86.437500000
217483296,-87.906249984
218262806,-80.906249984
219042316,-80.906249984
219821826,-81.406249984
220601336,-76.375000000
221380846,-76.875000000
222160356,-78.875000000
222939866,-84.343750016
223719376,-82.843750016
224498886,-88.843750016
225278396,-86.812499968
226057906,-88.812499968
226837416,-84.312500000
227616927,-80.812499968
228396437,-79.781249984
229175947,-80.781249984
229955457,-78.781249984
230734967,-85.750000000
231514477,-86.250000000
232293987,-85.750000000
233073497,-89.250000000
233853007,-90.250000000
234632517,-88.250000000
235412027,-84.250000000
236191537,-81.750000000
236971047,-81.750000000
237750557,-81.281249984
238530067,-82.781249984
239309577,-83.781249984
240089087,-88.281249984
240868597,-85.781249984
241648107,-82.781249984
242427617,-82.281249984
243207127,-79.781249984
243986637,-82.781249984
244766147,-85.281249984
245545657,-84.812499968
246325167,-88.812499968
247104677,-87.812499968
247884187,-88.312500000
248663697,-85.312500000
249443207,-84.312500000
250222717,-80.812499968
251002227,-84.812499968
251781737,-77.312500000
252561247,-77.812499968
253340757,-77.843750016
254120267,-79.843750016
254899777,-82.843750016
255679287,-81.343750016
256458797,-85.843750016
257238307,-90.343750016
258017817,-89.343750016
258797327,-88.843750016
259576837,-87.343750016
260356347,-86.375000000
261135857,-83.875000000
261915367,-83.375000000
262694878,-84.375000000
263474388,-85.375000000
264253898,-82.375000000
265033408,-83.375000000
265812918,-81.375000000
266592428,-82.875000000
267371938,-83.406249984
268151448,-83.906249984
268930958,-86.406249984
269710468,-89.406249984
270489978,-88.406249984
271269488,-87.406249984
272048998,-86.406249984
272828508,-83.906249984
273608018,-82.906249984
274387528,-80.406249984
275167038,-79.937500032
275946548,-79.937500032
276726058,-78.437500000
277505568,-80.437500000
278285078,-81.937500032
279064588,-78.937500032
279844098,-80.937500032
280623608,-87.437500000
281403118,-88.437500000
282182628,-86.937500032
282962138,-89.468750016
283741648,-86.468750016
284521158,-83.468750016
285300668,-83.968750016
286080178,-82.468750016
286859688,-83.968750016
287639198,-81.468750016
288418708,-80.968750016
289198218,-79.468750016
289977728,-83.468750016
290757238,-82.500000000
291536748,-80.500000000
292316258,-82.500000000
293095768,-84.500000000
293875278,-88.000000000
294654788,-87.468750016
295434298,-88.468750016
296213808,-88.968750016
296993318,-86.468750016
297772829,-86.468750016
298552339,-85.468750016
299331849,-83.437500000
300111359,-81.937500032
300890869,-84.437500000
301670379,-85.937500032
302449889,-89.437500000
303229399,-89.937500032
304008909,-89.406249984
304788419,-89.906249984
305567929,-90.906249984
306347439,-87.906249984
307126949,-87.406249984
307906459,-87.906249984
308685969,-85.875000000
309465479,-84.875000000
310244989,-84.875000000
311024499,-87.375000000
311804009,-82.375000000
312583519,-86.875000000
313363029,-87.343750016
314142539,-86.843750016
314922049,-89.843750016
315701559,-90.343750016
316481069,-86.843750016
317260579,-91.843750016
318040089,-88.312500000
318819599,-91.312500000
319599109,-88.312500000
320378619,-86.312500000
321158129,-82.812499968
321937639,-83.281249984
322717149,-84.781249984
323496659,-84.781249984
324276169,-83.781249984
325055679,-84.781249984
325835189,-84.281249984
326614699,-85.781249984
327394209,-87.250000000
328173719,-89.750000000
328953229,-90.750000000
329732739,-91.250000000
330512249,-89.750000000
331291759,-88.250000000
332071269,-84.718750016
332850780,-85.718750016
333630290,-81.718750016
334409800,-80.718750016
335189310,-84.718750016
335968820,-81.718750016
336748330,-85.187500000
337527840,-83.187500000
338307350,-86.187500000
339086860,-88.187500000
339866370,-87.187500000
340645880,-89.156250000
341425390,-90.156250000
342204900,-90.656249984
342984410,-88.656249984
343763920,-85.656249984
344543430,-85.656249984
345322940,-83.625000000
346102450,-81.125000000
346881960,-80.625000000
347661470,-80.125000000
